ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _stripe_product_id
prostate-support-package,simple,prostate-support-package,"Prostate Support Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,1185,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Prostate_Support_Package_f86dc26d-15b4-4b40-9f96-1b6b7abfb376.png?v=1738569987&width=533",,,,,,,,,0,,,,,
retatrutide-10mg-single-vial,simple,retatrutide-10mg-single-vial,"Retatrutide 10mg",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,210,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Retatrutide_CofA_1.png?v=6537752094447316042",,,,,,,,,0,,,,,
semaglutide-10mg-single-vial,simple,semaglutide-10mg-single-vial,"Semaglutide (GLP-1) 10mg",1,1,visible,"More Protocol Information - Premium quality peptide","

G. Kier, Health Professional from Colorado

“I have battled weight loss for years getting in great shape and then rebounding back to having excess fat and weight. I've seen friends take semaglutide and although they had weight loss, many looked like zombies because they were so nutrient deficient. It's obvious that most people don't realize the importance of increasing their nutrient quality for immediate and long term health. By utilizing a complete holistic program of healthy eating habits a",,,taxable,,1,999,0,0,,,,,1,,,225,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Semaglutide_CofA.webp?v=188050945325171539",,,,,,,,,0,,,,,
sexual-enhancement-protocol-package,simple,sexual-enhancement-protocol-package,"Sexual Enhancement Protocol Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,630,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/PT141_CofA.webp?v=9848710696694963589",,,,,,,,,0,,,,,
tanning-sexual-benefits,simple,tanning-sexual-benefits,"Tanning & Sexual Benefits Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,510,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Melanotan_II_CofA.webp?v=6429495222932838004",,,,,,,,,0,,,,,
100-reconstitution-syringes,simple,100-reconstitution-syringes,"10 Reconstitution Syringes",1,0,visible,"10 Reconstitution Syringes - Premium quality peptide","10 Reconstitution Syringes - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,6,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/ReconstitutionSyringesProductPhoto.png?v=1709682161&width=533",,,,,,,,,0,,,,,
100-injection-syringes,simple,100-injection-syringes,"100 Injection Syringes",1,0,visible,"Filter: - Premium quality peptide","Filter: - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,6,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/InjectionSyringesProductPhoto.png?v=1709682083&width=533",,,,,,,,,0,,,,,
100-sterile-alcohol-wipes,simple,100-sterile-alcohol-wipes,"100 Sterile Alcohol Wipes",1,0,visible,"100 Sterile Alcohol Wipes - Premium quality peptide","100 Sterile Alcohol Wipes - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,7.5,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Alcohol_Wipes.png?v=1732856595&width=533",,,,,,,,,0,,,,,
bacteriostatic-water-10ml-single-vial,simple,bacteriostatic-water-10ml-single-vial,"Bacteriostatic Water 10mL - Single Vial",1,0,visible,"Bacteriostatic Water 10mL - Single Vial - Premium quality peptide","Bacteriostatic Water 10mL - Single Vial - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,15,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/bac_water_-_new.png?v=1732856883&width=533",,,,,,,,,0,,,,,
cjc1295-ipamorelin-5mg-5mg-combination-single-vial,simple,cjc1295-ipamorelin-5mg-5mg-combination-single-vial,"CJC-1295 + Ipamorelin 5mg/5mg Combination",1,0,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,82.5,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/CJC-1295_Ipamorelin_CofA.webp?v=2465561261680905219",,,,,,,,,0,,,,,
